Time,UeId,FlowId,Direction,SrcAddr,DstAddr,Throughput_kbps,Latency_ms,Jitter_ms,PacketLoss
1.3,12,7,UL,7.0.0.8,1.0.0.2,34952,9.87416,0.433717,0
1.3,13,8,UL,7.0.0.9,1.0.0.2,36267.8,8.80322,0.422885,0
1.3,14,9,UL,7.0.0.10,1.0.0.2,37337,6.63953,0.412994,0
1.3,15,10,UL,7.0.0.11,1.0.0.2,35938.9,8.39271,0.430711,0
1.3,16,11,UL,7.0.0.12,1.0.0.2,35034.2,9.17597,0.436564,0
1.3,17,12,UL,7.0.0.13,1.0.0.2,36103.4,7.64785,0.426273,0
1.3,18,13,UL,7.0.0.14,1.0.0.2,35363.2,6.85701,0.433336,0
1.3,19,14,UL,7.0.0.15,1.0.0.2,37501.4,7.2616,0.420326,0
1.4,6,1,UL,7.0.0.2,1.0.0.2,5345.6,10.1297,2.25106,0
1.4,7,2,UL,7.0.0.3,1.0.0.2,5181.12,14.9276,2.57104,0
1.4,8,3,UL,7.0.0.4,1.0.0.2,5263.36,8.09555,2.01517,0
1.4,9,4,UL,7.0.0.5,1.0.0.2,4934.4,8.15793,2.06873,0
1.4,10,5,UL,7.0.0.6,1.0.0.2,37008,9.1259,0.424486,0
1.4,11,6,UL,7.0.0.7,1.0.0.2,36843.5,8.75769,0.429442,0
1.4,12,7,UL,7.0.0.8,1.0.0.2,36596.8,7.54839,0.427857,0
1.4,13,8,UL,7.0.0.9,1.0.0.2,35281,6.72496,0.417425,0
1.4,14,9,UL,7.0.0.10,1.0.0.2,35281,6.67792,0.417081,0
1.4,15,10,UL,7.0.0.11,1.0.0.2,35938.9,7.93922,0.427339,0
1.4,16,11,UL,7.0.0.12,1.0.0.2,34623,11.1888,0.434631,0
1.4,17,12,UL,7.0.0.13,1.0.0.2,34458.6,8.41112,0.437043,0
1.4,18,13,UL,7.0.0.14,1.0.0.2,38406.1,6.70867,0.407519,0
1.4,19,14,UL,7.0.0.15,1.0.0.2,34705.3,7.14117,0.428902,0
1.5,6,1,UL,7.0.0.2,1.0.0.2,5098.88,10.8104,2.38583,0
1.5,7,2,UL,7.0.0.3,1.0.0.2,5263.36,15.1969,2.51121,0
1.5,8,3,UL,7.0.0.4,1.0.0.2,5016.64,7.74578,2.00004,0
1.5,9,4,UL,7.0.0.5,1.0.0.2,5098.88,11.57,2.46406,0
1.5,10,5,UL,7.0.0.6,1.0.0.2,37254.7,8.98023,0.419486,0
1.5,11,6,UL,7.0.0.7,1.0.0.2,36925.8,6.95796,0.41496,0
1.5,12,7,UL,7.0.0.8,1.0.0.2,38241.6,7.17218,0.405731,0
1.5,13,8,UL,7.0.0.9,1.0.0.2,34540.8,6.59494,0.414903,0
1.5,14,9,UL,7.0.0.10,1.0.0.2,34129.6,6.71447,0.418145,0
1.5,15,10,UL,7.0.0.11,1.0.0.2,36103.4,8.04195,0.426635,0
1.5,16,11,UL,7.0.0.12,1.0.0.2,39886.4,7.42012,0.411886,0
1.5,17,12,UL,7.0.0.13,1.0.0.2,37419.2,7.3393,0.402213,0
1.5,18,13,UL,7.0.0.14,1.0.0.2,34540.8,5.98405,0.398463,0
1.5,19,14,UL,7.0.0.15,1.0.0.2,35856.6,5.76226,0.390291,0
1.6,6,1,UL,7.0.0.2,1.0.0.2,5181.12,10.141,2.32255,0
1.6,7,2,UL,7.0.0.3,1.0.0.2,5016.64,15.3951,2.6381,0
1.6,8,3,UL,7.0.0.4,1.0.0.2,5098.88,7.74383,1.95476,0
1.6,9,4,UL,7.0.0.5,1.0.0.2,4934.4,11.534,2.3428,0
1.6,10,5,UL,7.0.0.6,1.0.0.2,38241.6,9.77012,0.422358,0
1.6,11,6,UL,7.0.0.7,1.0.0.2,34705.3,7.22426,0.428056,0
1.6,12,7,UL,7.0.0.8,1.0.0.2,34458.6,6.64781,0.414801,0
1.6,13,8,UL,7.0.0.9,1.0.0.2,38488.3,6.84084,0.41923,0
1.6,14,9,UL,7.0.0.10,1.0.0.2,37172.5,6.85313,0.423353,0
1.6,15,10,UL,7.0.0.11,1.0.0.2,35938.9,8.23247,0.429636,0
1.6,16,11,UL,7.0.0.12,1.0.0.2,35609.9,6.9937,0.416657,0
1.6,17,12,UL,7.0.0.13,1.0.0.2,35609.9,7.83871,0.417261,0
1.6,18,13,UL,7.0.0.14,1.0.0.2,37419.2,5.82724,0.393763,0
1.6,19,14,UL,7.0.0.15,1.0.0.2,37419.2,5.80573,0.392862,0
1.7,6,1,UL,7.0.0.2,1.0.0.2,4852.16,10.4928,2.34114,0
1.7,7,2,UL,7.0.0.3,1.0.0.2,5098.88,14.0651,2.50515,0
1.7,8,3,UL,7.0.0.4,1.0.0.2,5181.12,7.81607,2.04133,0
1.7,9,4,UL,7.0.0.5,1.0.0.2,5510.08,10.0546,2.0834,0
1.7,10,5,UL,7.0.0.6,1.0.0.2,32320.3,8.61402,0.424998,0
1.7,11,6,UL,7.0.0.7,1.0.0.2,35198.7,7.00525,0.420386,0
1.7,12,7,UL,7.0.0.8,1.0.0.2,35692.2,7.02876,0.431116,0
1.7,13,8,UL,7.0.0.9,1.0.0.2,35609.9,6.61855,0.419751,0
1.7,14,9,UL,7.0.0.10,1.0.0.2,37337,6.6391,0.413126,0
1.7,15,10,UL,7.0.0.11,1.0.0.2,35692.2,8.104,0.428913,0
1.7,16,11,UL,7.0.0.12,1.0.0.2,35692.2,7.15553,0.422585,0
1.7,17,12,UL,7.0.0.13,1.0.0.2,36679,7.71228,0.418022,0
1.7,18,13,UL,7.0.0.14,1.0.0.2,33882.9,5.85049,0.406712,0
1.7,19,14,UL,7.0.0.15,1.0.0.2,34376.3,5.82027,0.402089,0
1.8,6,1,UL,7.0.0.2,1.0.0.2,5181.12,12.0821,2.47485,0
1.8,7,2,UL,7.0.0.3,1.0.0.2,5427.84,16.5379,2.59225,0
1.8,8,3,UL,7.0.0.4,1.0.0.2,5263.36,8.09831,2.01342,0
1.8,9,4,UL,7.0.0.5,1.0.0.2,5098.88,7.844,2.02005,0
1.8,10,5,UL,7.0.0.6,1.0.0.2,39228.5,9.51443,0.424882,0
1.8,11,6,UL,7.0.0.7,1.0.0.2,37008,7.98648,0.417487,0
1.8,12,7,UL,7.0.0.8,1.0.0.2,36350.1,7.16736,0.41782,0
1.8,13,8,UL,7.0.0.9,1.0.0.2,36350.1,7.07422,0.423868,0
1.8,14,9,UL,7.0.0.10,1.0.0.2,35281,6.68244,0.416429,0
1.8,15,10,UL,7.0.0.11,1.0.0.2,36021.1,8.13272,0.425913,0
1.8,16,11,UL,7.0.0.12,1.0.0.2,35938.9,6.03499,0.404154,0
1.8,17,12,UL,7.0.0.13,1.0.0.2,33882.9,7.44912,0.433338,0
1.8,18,13,UL,7.0.0.14,1.0.0.2,37008,5.87573,0.383899,0
1.8,19,14,UL,7.0.0.15,1.0.0.2,36103.4,5.7201,0.384866,0
1.9,6,1,UL,7.0.0.2,1.0.0.2,5345.6,11.1217,2.42641,0
1.9,7,2,UL,7.0.0.3,1.0.0.2,5181.12,9.75984,2.10727,0
1.9,8,3,UL,7.0.0.4,1.0.0.2,5016.64,7.74467,2.00071,0
1.9,9,4,UL,7.0.0.5,1.0.0.2,5098.88,7.58311,2.01049,0
1.9,10,5,UL,7.0.0.6,1.0.0.2,35198.7,9.80639,0.428927,0
1.9,11,6,UL,7.0.0.7,1.0.0.2,35938.9,7.23466,0.415527,0
1.9,12,7,UL,7.0.0.8,1.0.0.2,36185.6,7.26359,0.425773,0
1.9,13,8,UL,7.0.0.9,1.0.0.2,34458.6,7.65578,0.429438,0
1.9,14,9,UL,7.0.0.10,1.0.0.2,34129.6,6.71518,0.418337,0
1.9,15,10,UL,7.0.0.11,1.0.0.2,36021.1,8.2021,0.428127,0
1.9,16,11,UL,7.0.0.12,1.0.0.2,36185.6,7.06288,0.425248,0
1.9,17,12,UL,7.0.0.13,1.0.0.2,36267.8,7.26147,0.401278,0
1.9,18,13,UL,7.0.0.14,1.0.0.2,37008,5.8507,0.395769,0
1.9,19,14,UL,7.0.0.15,1.0.0.2,37419.2,5.76671,0.393361,0
2,6,1,UL,7.0.0.2,1.0.0.2,5181.12,10.5374,2.32256,0
2,7,2,UL,7.0.0.3,1.0.0.2,5098.88,8.81135,2.07602,0
2,8,3,UL,7.0.0.4,1.0.0.2,4852.16,8.18001,2.03391,0
2,9,4,UL,7.0.0.5,1.0.0.2,5016.64,7.54396,1.9938,0
2,10,5,UL,7.0.0.6,1.0.0.2,13076.2,9.46401,0.447462,0
2,11,6,UL,7.0.0.7,1.0.0.2,32813.8,8.18649,0.443103,0
2,12,7,UL,7.0.0.8,1.0.0.2,35363.2,7.38876,0.417096,0
2,13,8,UL,7.0.0.9,1.0.0.2,35527.7,7.75922,0.436492,0
2,14,9,UL,7.0.0.10,1.0.0.2,37172.5,6.84816,0.424169,0
2,15,10,UL,7.0.0.11,1.0.0.2,35938.9,8.11579,0.427553,0
2,16,11,UL,7.0.0.12,1.0.0.2,36514.6,7.23088,0.417853,0
2,17,12,UL,7.0.0.13,1.0.0.2,37419.2,6.78283,0.411938,0
2,18,13,UL,7.0.0.14,1.0.0.2,34458.6,5.98951,0.406047,0
2,19,14,UL,7.0.0.15,1.0.0.2,35198.7,5.95733,0.400755,0
2.1,6,1,UL,7.0.0.2,1.0.0.2,5181.12,11.0861,2.37338,0
2.1,7,2,UL,7.0.0.3,1.0.0.2,5181.12,8.7436,2.12322,0
2.1,8,3,UL,7.0.0.4,1.0.0.2,5181.12,7.93834,2.22823,0
2.1,9,4,UL,7.0.0.5,1.0.0.2,5016.64,7.66295,2.20288,0
2.1,10,5,UL,7.0.0.6,1.0.0.2,59953,36.5722,0.432258,0
2.1,11,6,UL,7.0.0.7,1.0.0.2,38981.8,7.81783,0.411178,0
2.1,12,7,UL,7.0.0.8,1.0.0.2,35938.9,7.14467,0.421888,0
2.1,13,8,UL,7.0.0.9,1.0.0.2,37090.2,6.92972,0.411861,0
2.1,14,9,UL,7.0.0.10,1.0.0.2,37337,6.64227,0.412666,0
2.1,15,10,UL,7.0.0.11,1.0.0.2,35938.9,8.22652,0.428662,0
2.1,16,11,UL,7.0.0.12,1.0.0.2,34623,6.38095,0.417283,0
2.1,17,12,UL,7.0.0.13,1.0.0.2,34540.8,7.47448,0.412203,0
2.1,18,13,UL,7.0.0.14,1.0.0.2,36103.4,5.71931,0.384813,0
2.1,19,14,UL,7.0.0.15,1.0.0.2,35363.2,5.57907,0.385332,0
2.2,6,1,UL,7.0.0.2,1.0.0.2,4934.4,11.702,2.43537,0
2.2,7,2,UL,7.0.0.3,1.0.0.2,5263.36,8.05786,1.91436,0
2.2,8,3,UL,7.0.0.4,1.0.0.2,5098.88,7.81964,2.01135,0
2.2,9,4,UL,7.0.0.5,1.0.0.2,5263.36,7.82263,2.0435,0
2.2,10,5,UL,7.0.0.6,1.0.0.2,35198.7,9.55705,0.420917,0
2.2,11,6,UL,7.0.0.7,1.0.0.2,36925.8,7.99234,0.418815,0
2.2,12,7,UL,7.0.0.8,1.0.0.2,37337,6.82711,0.413853,0
2.2,13,8,UL,7.0.0.9,1.0.0.2,33965.1,6.92262,0.417135,0
2.2,14,9,UL,7.0.0.10,1.0.0.2,35281,6.67967,0.417131,0
2.2,15,10,UL,7.0.0.11,1.0.0.2,35938.9,8.09561,0.423261,0
2.2,16,11,UL,7.0.0.12,1.0.0.2,36925.8,6.26689,0.400269,0
2.2,17,12,UL,7.0.0.13,1.0.0.2,37419.2,7.59161,0.413938,0
2.2,18,13,UL,7.0.0.14,1.0.0.2,37419.2,5.87586,0.393982,0
2.2,19,14,UL,7.0.0.15,1.0.0.2,37419.2,5.79657,0.393491,0
2.3,6,1,UL,7.0.0.2,1.0.0.2,5263.36,10.7153,2.3893,0
2.3,7,2,UL,7.0.0.3,1.0.0.2,4852.16,12.2957,2.46294,0
2.3,8,3,UL,7.0.0.4,1.0.0.2,5181.12,7.77598,2.03098,0
2.3,9,4,UL,7.0.0.5,1.0.0.2,5263.36,7.73922,2.08484,0
2.3,10,5,UL,7.0.0.6,1.0.0.2,37254.7,7.61569,0.411016,0
2.3,11,6,UL,7.0.0.7,1.0.0.2,36596.8,6.82054,0.414821,0
2.3,12,7,UL,7.0.0.8,1.0.0.2,35198.7,6.60976,0.421282,0
2.3,13,8,UL,7.0.0.9,1.0.0.2,38817.3,6.88137,0.419812,0
2.3,14,9,UL,7.0.0.10,1.0.0.2,34129.6,6.71567,0.418407,0
2.3,15,10,UL,7.0.0.11,1.0.0.2,35938.9,8.37894,0.429643,0
2.3,16,11,UL,7.0.0.12,1.0.0.2,36350.1,7.35502,0.427048,0
2.3,17,12,UL,7.0.0.13,1.0.0.2,35281,7.27682,0.421607,0
2.3,18,13,UL,7.0.0.14,1.0.0.2,34705.3,6.06042,0.406717,0
2.3,19,14,UL,7.0.0.15,1.0.0.2,34787.5,5.97955,0.403114,0
2.4,6,1,UL,7.0.0.2,1.0.0.2,5016.64,11.1204,2.3695,0
2.4,7,2,UL,7.0.0.3,1.0.0.2,4687.68,15.071,2.62426,0
2.4,8,3,UL,7.0.0.4,1.0.0.2,5345.6,7.91406,2.01785,0
2.4,9,4,UL,7.0.0.5,1.0.0.2,5181.12,7.43731,2.02454,0
2.4,10,5,UL,7.0.0.6,1.0.0.2,35198.7,8.79079,0.424245,0
2.4,11,6,UL,7.0.0.7,1.0.0.2,35281,7.61505,0.422394,0
2.4,12,7,UL,7.0.0.8,1.0.0.2,34705.3,6.71478,0.415875,0
2.4,13,8,UL,7.0.0.9,1.0.0.2,35281,6.55086,0.418604,0
2.4,14,9,UL,7.0.0.10,1.0.0.2,37172.5,6.85434,0.42387,0
2.4,15,10,UL,7.0.0.11,1.0.0.2,36021.1,8.21087,0.419004,0
2.4,16,11,UL,7.0.0.12,1.0.0.2,34952,7.98985,0.426135,0
2.4,17,12,UL,7.0.0.13,1.0.0.2,34952,7.7167,0.419692,0
2.4,18,13,UL,7.0.0.14,1.0.0.2,36185.6,5.64159,0.386408,0
2.4,19,14,UL,7.0.0.15,1.0.0.2,36021.1,5.56742,0.384785,0
2.5,6,1,UL,7.0.0.2,1.0.0.2,5016.64,11.6334,2.45087,0
2.5,7,2,UL,7.0.0.3,1.0.0.2,5592.32,14.6408,2.49841,0
2.5,8,3,UL,7.0.0.4,1.0.0.2,5016.64,8.20146,2.04157,0
2.5,9,4,UL,7.0.0.5,1.0.0.2,4852.16,10.7847,2.26898,0
2.5,10,5,UL,7.0.0.6,1.0.0.2,36185.6,9.04494,0.426479,0
2.5,11,6,UL,7.0.0.7,1.0.0.2,36679,6.6434,0.416606,0
2.5,12,7,UL,7.0.0.8,1.0.0.2,37583.7,6.83223,0.423319,0
2.5,13,8,UL,7.0.0.9,1.0.0.2,35363.2,7.33608,0.42613,0
2.5,14,9,UL,7.0.0.10,1.0.0.2,37337,6.64112,0.41277,0
2.5,15,10,UL,7.0.0.11,1.0.0.2,35938.9,8.24395,0.436687,0
2.5,16,11,UL,7.0.0.12,1.0.0.2,34705.3,9.14888,0.441743,0
2.5,17,12,UL,7.0.0.13,1.0.0.2,35774.4,7.19364,0.426952,0
2.5,18,13,UL,7.0.0.14,1.0.0.2,37008,6.00603,0.396704,0
2.5,19,14,UL,7.0.0.15,1.0.0.2,37090.2,5.82078,0.393152,0
2.6,6,1,UL,7.0.0.2,1.0.0.2,5427.84,11.0137,2.36542,0
2.6,7,2,UL,7.0.0.3,1.0.0.2,5181.12,13.7117,2.53582,0
2.6,8,3,UL,7.0.0.4,1.0.0.2,5181.12,7.7672,2.01936,0
2.6,9,4,UL,7.0.0.5,1.0.0.2,5263.36,11.5277,2.34005,0
2.6,10,5,UL,7.0.0.6,1.0.0.2,34376.3,8.74099,0.424477,0
2.6,11,6,UL,7.0.0.7,1.0.0.2,33307.2,7.99061,0.440603,0
2.6,12,7,UL,7.0.0.8,1.0.0.2,36514.6,6.72134,0.410848,0
